                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1789,                 3.3823,                 1.5966,                0.08409,                0.25828,                0.07262,                0.03153,                 2.1159,                 21.453,                 3.3945,             0.00022301,             0.00022301,             0.00022301
                      2,                 1.3101,                 2.8927,                 1.6741,                0.02636,                0.25643,                0.02339,                0.00907,                  2.415,                    inf,                 5.0063,             0.00045191,             0.00045191,             0.00045191
                      3,                  1.532,                 2.8727,                 1.8075,                0.03476,                0.12724,                0.01892,                0.00727,                 2.8024,                    inf,                 6.3689,             0.00067899,             0.00067899,             0.00067899
                      4,                 1.6342,                  3.007,                 1.9056,                0.00289,                0.29814,                0.00235,                 0.0008,                 3.2561,                    inf,                 18.496,             0.00075986,             0.00075986,             0.00075986
                      5,                 1.5677,                 2.8638,                 1.8497,                0.05217,                0.30932,                0.05078,                 0.0228,                 2.3788,                 12.325,                 3.8522,             0.00075986,             0.00075986,             0.00075986
                      6,                 1.4949,                 2.8641,                 1.8424,                0.04218,                0.13744,                0.02695,                0.01329,                  2.537,                 28.989,                 3.3653,             0.00075682,             0.00075682,             0.00075682
                      7,                 1.5203,                 2.8798,                 1.8564,                0.03726,                0.14691,                 0.0278,                0.01289,                 2.4789,                 4.7235,                 2.9857,             0.00075377,             0.00075377,             0.00075377
                      8,                 1.5134,                 2.7544,                 1.7907,                0.08336,                 0.1118,                0.06286,                0.03437,                 2.6315,                 14.221,                 3.2339,             0.00075073,             0.00075073,             0.00075073
                      9,                   1.41,                 2.6326,                 1.7382,                0.07196,                0.20817,                0.06478,                0.03052,                 2.3595,                    inf,                 3.4741,             0.00074768,             0.00074768,             0.00074768
                     10,                 1.3645,                 2.6589,                 1.6772,                0.03858,                0.26199,                0.02582,                0.01301,                 1.9571,                    inf,                  2.831,             0.00074464,             0.00074464,             0.00074464
                     11,                 1.3406,                 2.5795,                 1.6818,                0.20204,                 0.2175,                0.10025,                0.05641,                 1.7781,                 3.4241,                 2.4015,             0.00074159,             0.00074159,             0.00074159
                     12,                  1.342,                 2.6008,                 1.6895,                 0.2376,                0.19561,                0.09283,                0.04818,                 1.8866,                  3.139,                 2.4962,             0.00073855,             0.00073855,             0.00073855
                     13,                 1.3695,                 2.5494,                 1.7008,                 0.1055,                0.28677,                0.09183,                0.05493,                 1.8617,                 4.1577,                 2.4345,              0.0007355,              0.0007355,              0.0007355
                     14,                  1.305,                 2.5703,                 1.6668,                0.12075,                0.16026,                0.10541,                0.06606,                 1.7604,                 3.7251,                 2.1752,             0.00073246,             0.00073246,             0.00073246
                     15,                   1.27,                 2.4762,                 1.6456,                0.37754,                0.17336,                0.16218,                0.09678,                 1.5386,                 2.8242,                 2.0553,             0.00072941,             0.00072941,             0.00072941
                     16,                 1.2908,                  2.469,                 1.6547,                0.30738,                0.30228,                0.16277,                0.09342,                 1.5904,                   2.89,                 2.0858,             0.00072637,             0.00072637,             0.00072637
                     17,                  1.321,                 2.4561,                 1.6614,                0.13371,                0.29838,                0.13771,                0.08208,                 1.7194,                 3.0899,                 2.2534,             0.00072332,             0.00072332,             0.00072332
                     18,                 1.2539,                 2.4183,                 1.6079,                0.36175,                0.26336,                0.16195,                0.09772,                 1.6084,                 3.0276,                 2.2286,             0.00072028,             0.00072028,             0.00072028
                     19,                 1.2167,                 2.3436,                  1.601,                0.18292,                0.39875,                0.17913,                0.10864,                 1.4617,                 2.8976,                 2.0369,             0.00071723,             0.00071723,             0.00071723
                     20,                  1.231,                 2.3079,                  1.597,                0.46851,                0.25107,                0.19549,                0.12105,                 1.6013,                 2.5953,                 2.1726,             0.00071419,             0.00071419,             0.00071419
                     21,                  1.248,                  2.353,                 1.5989,                0.22585,                0.32223,                0.20875,                 0.1209,                  1.507,                 2.6154,                 2.0317,             0.00071114,             0.00071114,             0.00071114
                     22,                 1.2015,                 2.2607,                 1.5701,                0.25613,                0.37577,                0.20366,                0.12835,                 1.5759,                 2.5569,                 2.1499,              0.0007081,              0.0007081,              0.0007081
                     23,                 1.2036,                 2.2934,                 1.6049,                0.18923,                0.32723,                0.16562,                0.10294,                  1.559,                 2.7317,                 2.1216,             0.00070505,             0.00070505,             0.00070505
                     24,                  1.163,                 2.2309,                 1.5614,                0.13731,                0.41019,                0.18687,                0.11184,                 1.5001,                 2.6591,                 2.0411,               0.000702,               0.000702,               0.000702
                     25,                 1.1991,                 2.2136,                   1.58,                0.18306,                0.27569,                0.15953,                0.09787,                 1.5615,                  3.114,                 2.1251,             0.00069896,             0.00069896,             0.00069896
                     26,                 1.1689,                 2.1946,                 1.5534,                0.14542,                0.29473,                0.17257,                0.09729,                 1.6183,                  2.611,                 2.1794,             0.00069591,             0.00069591,             0.00069591
                     27,                 1.1607,                  2.172,                  1.544,                0.36859,                 0.3019,                0.21837,                0.13994,                 1.5729,                 2.5832,                 2.0647,             0.00069287,             0.00069287,             0.00069287
                     28,                 1.1034,                 2.1122,                 1.5051,                0.20164,                 0.3476,                0.22377,                0.14548,                 1.4684,                 2.4732,                 2.0478,             0.00068982,             0.00068982,             0.00068982
                     29,                 1.1335,                  2.159,                 1.5241,                0.43006,                0.28921,                 0.2715,                0.17379,                 1.4684,                  2.379,                  2.015,             0.00068678,             0.00068678,             0.00068678
                     30,                 1.1467,                 2.1067,                 1.5271,                0.18123,                0.38617,                0.19778,                0.11154,                 1.4658,                 2.5136,                 2.0362,             0.00068373,             0.00068373,             0.00068373
                     31,                 1.1462,                 2.1004,                 1.5424,                 0.1918,                0.41079,                0.21328,                  0.132,                 1.4769,                  2.451,                  2.005,             0.00068069,             0.00068069,             0.00068069
                     32,                 1.0606,                 2.0401,                 1.4726,                0.18974,                0.39583,                0.19845,                0.12658,                 1.4646,                    2.4,                 2.0257,             0.00067764,             0.00067764,             0.00067764
                     33,                 1.1066,                 1.9301,                 1.4717,                0.23306,                0.40267,                0.26143,                0.16974,                 1.4397,                 2.4002,                 2.0024,              0.0006746,              0.0006746,              0.0006746
                     34,                 1.1013,                 2.0268,                 1.4972,                0.27105,                0.38164,                0.31957,                0.20914,                 1.3967,                 2.1689,                 1.9553,             0.00067155,             0.00067155,             0.00067155
                     35,                 1.1047,                 2.0128,                 1.5081,                0.27789,                0.33476,                0.28669,                0.19143,                 1.3865,                 2.3197,                 1.9311,             0.00066851,             0.00066851,             0.00066851
                     36,                 1.0876,                 1.9324,                 1.4675,                0.24076,                0.32144,                0.26154,                0.15946,                 1.4012,                  2.311,                 1.9533,             0.00066546,             0.00066546,             0.00066546
                     37,                  1.055,                 1.9796,                 1.4451,                0.20193,                0.39662,                0.22324,                0.13394,                 1.5381,                 2.5811,                 2.0997,             0.00066242,             0.00066242,             0.00066242
                     38,                 1.0742,                 1.9427,                 1.5115,                 0.2902,                0.42164,                0.27621,                0.18062,                 1.3762,                 2.5334,                 1.9263,             0.00065937,             0.00065937,             0.00065937
                     39,                 1.0464,                 1.9042,                 1.4611,                0.33736,                0.41942,                0.33361,                0.21826,                  1.406,                 2.2421,                 1.9013,             0.00065633,             0.00065633,             0.00065633
                     40,                 1.1041,                 1.8761,                 1.4795,                0.27165,                0.40623,                0.27232,                0.17568,                 1.3827,                 2.3422,                 1.8697,             0.00065328,             0.00065328,             0.00065328
                     41,                 1.0721,                 1.8865,                 1.4913,                 0.2278,                0.37459,                0.29344,                0.17778,                 1.3981,                 2.2461,                 1.8753,             0.00065024,             0.00065024,             0.00065024
                     42,                   1.08,                 1.8132,                 1.4493,                0.33494,                0.29697,                0.24842,                0.15937,                 1.4333,                 2.2773,                 1.9577,             0.00064719,             0.00064719,             0.00064719
                     43,                  1.057,                 1.8891,                 1.4592,                0.32634,                0.35437,                0.30694,                0.19522,                 1.3331,                 2.0698,                  1.841,             0.00064415,             0.00064415,             0.00064415
                     44,                 1.0084,                 1.8123,                 1.4421,                0.29011,                0.42692,                0.34695,                0.22221,                 1.3305,                 2.0471,                  1.831,              0.0006411,              0.0006411,              0.0006411
                     45,                0.99807,                 1.7659,                 1.4238,                0.26412,                0.44431,                0.29234,                0.19449,                 1.3194,                 2.2177,                 1.8353,             0.00063805,             0.00063805,             0.00063805
                     46,                0.99215,                 1.7748,                 1.4203,                0.38472,                0.37814,                0.35119,                0.24174,                 1.3314,                 2.0536,                 1.8406,             0.00063501,             0.00063501,             0.00063501
                     47,                 1.0269,                 1.7497,                 1.4408,                0.43833,                0.37618,                0.34129,                 0.2063,                 1.3643,                 2.1165,                 1.8596,             0.00063196,             0.00063196,             0.00063196
                     48,                0.98493,                 1.7645,                 1.3826,                0.39034,                0.29119,                0.31101,                0.20847,                 1.3527,                 2.1111,                 1.8377,             0.00062892,             0.00062892,             0.00062892
                     49,                0.99874,                 1.7987,                 1.4244,                 0.3626,                0.39452,                0.32591,                 0.2266,                 1.2452,                 2.0534,                 1.7662,             0.00062587,             0.00062587,             0.00062587
                     50,                  1.014,                 1.7228,                 1.4276,                0.31509,                0.44942,                0.34947,                0.24942,                 1.2565,                 1.9592,                   1.76,             0.00062283,             0.00062283,             0.00062283
                     51,                0.97487,                 1.6663,                 1.3927,                0.27957,                0.37459,                0.31211,                0.21277,                 1.3074,                 2.1256,                 1.8166,             0.00061978,             0.00061978,             0.00061978
                     52,                  1.013,                 1.7193,                 1.4362,                0.50505,                0.34878,                0.36522,                0.24248,                 1.2841,                 2.0688,                 1.8159,             0.00061674,             0.00061674,             0.00061674
                     53,                0.99311,                 1.7198,                 1.4155,                0.31243,                0.45766,                0.31535,                0.21072,                 1.2473,                 1.9671,                 1.7534,             0.00061369,             0.00061369,             0.00061369
                     54,                0.95551,                 1.6997,                 1.3953,                0.34645,                 0.4519,                0.35881,                0.22219,                 1.3212,                 2.0574,                 1.8222,             0.00061065,             0.00061065,             0.00061065
                     55,                 1.0005,                  1.754,                 1.4313,                 0.3677,                0.35817,                 0.3393,                0.22961,                   1.25,                 2.0439,                 1.7405,              0.0006076,              0.0006076,              0.0006076
                     56,                0.94036,                 1.7088,                 1.4038,                0.31669,                0.50418,                0.35659,                0.24959,                 1.2187,                 1.9955,                  1.708,             0.00060456,             0.00060456,             0.00060456
                     57,                0.95506,                 1.6351,                 1.3891,                0.35798,                0.41485,                0.35455,                0.24917,                 1.2444,                 1.9707,                 1.7585,             0.00060151,             0.00060151,             0.00060151
                     58,                0.93573,                 1.6522,                 1.3739,                 0.4013,                0.41012,                0.39094,                  0.274,                 1.2937,                 1.9815,                 1.8113,             0.00059847,             0.00059847,             0.00059847
                     59,                0.96628,                  1.628,                 1.3814,                0.33833,                0.45313,                 0.3783,                0.24777,                 1.3364,                 2.0903,                 1.8209,             0.00059542,             0.00059542,             0.00059542
                     60,                0.98422,                 1.6431,                 1.3881,                0.38533,                0.45643,                0.35959,                0.23008,                 1.3275,                 2.0116,                   1.82,             0.00059238,             0.00059238,             0.00059238
                     61,                0.94818,                 1.6244,                 1.3905,                0.37573,                0.46311,                0.41077,                0.28937,                 1.2494,                 1.9428,                 1.7514,             0.00058933,             0.00058933,             0.00058933
                     62,                0.92055,                 1.6182,                  1.348,                0.47697,                0.36375,                0.35488,                0.24588,                 1.2268,                 2.1015,                 1.7185,             0.00058629,             0.00058629,             0.00058629
                     63,                0.94124,                 1.6594,                 1.3889,                 0.3372,                0.43089,                0.30936,                0.20388,                  1.298,                  2.323,                 1.8261,             0.00058324,             0.00058324,             0.00058324
                     64,                0.96159,                 1.6718,                 1.3945,                0.43104,                0.43359,                0.41203,                0.27943,                 1.2581,                 1.9783,                 1.7461,              0.0005802,              0.0005802,              0.0005802
                     65,                0.90428,                  1.537,                  1.339,                0.36946,                0.46144,                0.36041,                0.25619,                 1.2695,                 2.1152,                 1.7652,             0.00057715,             0.00057715,             0.00057715
                     66,                0.93136,                 1.5634,                 1.3537,                0.40625,                0.46497,                0.40719,                0.29298,                 1.2295,                 1.8591,                 1.7457,              0.0005741,              0.0005741,              0.0005741
                     67,                 0.9494,                 1.5461,                 1.3723,                0.43483,                0.41613,                0.39266,                0.27475,                 1.1955,                 1.8964,                 1.6995,             0.00057106,             0.00057106,             0.00057106
                     68,                0.90854,                 1.5333,                  1.352,                0.38986,                 0.4777,                0.40216,                0.27196,                 1.2438,                 1.8983,                 1.7548,             0.00056801,             0.00056801,             0.00056801
                     69,                0.93224,                 1.5432,                 1.3604,                0.41396,                0.53007,                0.44489,                0.29715,                 1.2072,                 1.8065,                 1.7051,             0.00056497,             0.00056497,             0.00056497
                     70,                0.89593,                 1.4601,                 1.3195,                0.51793,                0.45285,                0.43512,                 0.3005,                 1.3287,                 1.8623,                  1.861,             0.00056192,             0.00056192,             0.00056192
                     71,                0.92763,                 1.5304,                  1.343,                0.42595,                0.52405,                0.41427,                0.28474,                 1.2973,                 1.9431,                 1.7763,             0.00055888,             0.00055888,             0.00055888
                     72,                0.92729,                  1.529,                  1.348,                0.41353,                0.54237,                0.45141,                0.30031,                 1.2646,                 1.8078,                 1.7734,             0.00055583,             0.00055583,             0.00055583
                     73,                0.93212,                 1.5393,                 1.3622,                0.38011,                0.45554,                0.38402,                0.26861,                 1.2408,                 1.9658,                 1.7603,             0.00055279,             0.00055279,             0.00055279
                     74,                0.89933,                  1.454,                 1.3215,                0.44242,                0.42657,                0.43138,                0.29114,                 1.2829,                 1.8685,                 1.7664,             0.00054974,             0.00054974,             0.00054974
                     75,                 0.8979,                 1.4375,                 1.3547,                 0.5478,                0.38703,                0.46261,                0.33623,                 1.1816,                 1.7511,                 1.7371,              0.0005467,              0.0005467,              0.0005467
                     76,                0.87686,                 1.4554,                 1.3104,                0.45367,                0.44552,                0.44166,                0.30257,                 1.2498,                 1.9221,                 1.7896,             0.00054365,             0.00054365,             0.00054365
                     77,                0.89909,                 1.3891,                 1.3288,                0.56172,                 0.4002,                 0.4594,                0.31931,                 1.2526,                 1.8715,                 1.7655,             0.00054061,             0.00054061,             0.00054061
                     78,                0.88396,                 1.4094,                 1.3345,                0.41561,                0.49514,                0.44958,                0.30982,                 1.2377,                 1.8926,                 1.7444,             0.00053756,             0.00053756,             0.00053756
                     79,                0.86387,                 1.3864,                 1.3134,                0.58838,                0.43672,                0.49003,                0.32256,                 1.3067,                 1.8111,                 1.7976,             0.00053452,             0.00053452,             0.00053452
                     80,                0.87453,                 1.4041,                 1.3096,                0.43517,                0.45338,                0.42903,                0.29495,                  1.247,                 1.8857,                 1.7454,             0.00053147,             0.00053147,             0.00053147
                     81,                0.84742,                 1.4232,                 1.3143,                 0.3268,                0.47113,                0.39418,                0.27923,                 1.2983,                 2.0811,                 1.8469,             0.00052843,             0.00052843,             0.00052843
                     82,                0.87025,                 1.4328,                 1.3149,                0.40944,                0.40512,                0.37565,                0.26386,                 1.2244,                 2.0162,                  1.763,             0.00052538,             0.00052538,             0.00052538
                     83,                0.89341,                 1.3977,                 1.3339,                0.42685,                0.49699,                0.43092,                0.30047,                 1.2225,                 1.8454,                  1.716,             0.00052234,             0.00052234,             0.00052234
                     84,                 0.8873,                 1.4048,                 1.3042,                0.45971,                 0.4709,                0.43858,                0.30553,                  1.242,                 1.7913,                 1.7095,             0.00051929,             0.00051929,             0.00051929
                     85,                0.85737,                 1.3568,                 1.2908,                0.52983,                0.40892,                0.45571,                 0.3363,                 1.2685,                 1.6913,                 1.8007,             0.00051625,             0.00051625,             0.00051625
                     86,                0.86308,                 1.3467,                 1.3028,                0.42037,                0.51547,                0.47569,                 0.3292,                 1.1608,                 1.7214,                 1.7009,              0.0005132,              0.0005132,              0.0005132
                     87,                0.85023,                 1.3387,                 1.3012,                0.49026,                  0.447,                0.43357,                0.30835,                 1.1632,                 1.7797,                 1.6652,             0.00051015,             0.00051015,             0.00051015
                     88,                0.84317,                 1.3359,                 1.2998,                0.48461,                0.34751,                0.41261,                0.30019,                 1.2724,                 1.9748,                 1.8102,             0.00050711,             0.00050711,             0.00050711
                     89,                0.82899,                 1.2844,                 1.2848,                0.46956,                0.50718,                0.47072,                0.33091,                 1.2408,                 1.7507,                 1.7429,             0.00050406,             0.00050406,             0.00050406
                     90,                0.87252,                 1.3371,                 1.3018,                0.45854,                0.47389,                0.42775,                0.29788,                 1.2107,                 1.8158,                 1.7222,             0.00050102,             0.00050102,             0.00050102
                     91,                0.80509,                 1.2533,                 1.2592,                0.59062,                0.42204,                0.47535,                0.33645,                 1.2899,                 1.7956,                 1.8237,             0.00049797,             0.00049797,             0.00049797
                     92,                0.83955,                 1.2875,                 1.2945,                0.41211,                0.50333,                0.45422,                0.31101,                 1.2085,                 1.8367,                  1.731,             0.00049493,             0.00049493,             0.00049493
                     93,                0.82495,                  1.293,                 1.2966,                0.43112,                 0.5205,                0.46277,                 0.3358,                 1.1929,                 1.8047,                 1.7058,             0.00049188,             0.00049188,             0.00049188
                     94,                0.80789,                 1.2776,                 1.2824,                0.52382,                0.40674,                0.42969,                0.29509,                 1.1457,                  1.858,                 1.6753,             0.00048884,             0.00048884,             0.00048884
                     95,                 0.8281,                 1.2806,                 1.2873,                0.61918,                0.41539,                 0.4852,                 0.3345,                 1.2639,                 1.7728,                 1.8025,             0.00048579,             0.00048579,             0.00048579
                     96,                0.82933,                 1.2609,                 1.3024,                0.50378,                0.51164,                0.47732,                0.33196,                 1.1948,                 1.8088,                 1.7505,             0.00048275,             0.00048275,             0.00048275
                     97,                0.82657,                 1.2553,                 1.2777,                0.62881,                0.43125,                0.48805,                0.34492,                 1.2748,                 1.8465,                 1.7894,              0.0004797,              0.0004797,              0.0004797
                     98,                0.82877,                 1.2416,                 1.2855,                0.43757,                0.50668,                0.45642,                0.31146,                 1.2438,                 1.9205,                 1.7809,             0.00047666,             0.00047666,             0.00047666
                     99,                  0.831,                 1.2388,                 1.2759,                0.58194,                0.41211,                0.45415,                 0.3142,                  1.341,                 1.9352,                  1.887,             0.00047361,             0.00047361,             0.00047361
                    100,                0.80466,                 1.1751,                 1.2725,                0.56812,                0.44237,                 0.4816,                0.34791,                   1.18,                 1.8417,                 1.7006,             0.00047057,             0.00047057,             0.00047057
                    101,                0.81654,                 1.2238,                 1.2793,                0.53238,                 0.4603,                0.48717,                0.35066,                 1.2043,                 1.7702,                 1.7092,             0.00046752,             0.00046752,             0.00046752
                    102,                0.78056,                 1.2091,                 1.2505,                0.67744,                0.44869,                0.51883,                0.37037,                 1.1698,                 1.7891,                 1.6901,             0.00046448,             0.00046448,             0.00046448
